source,target,amount
1,3949,1.0
1,239,1.0
1,5499,1.0
1,3828,1.0
1,5892,1.0
2,4343,1.0
2,304,1.0
2,782,1.0
2,3285,1.0
2,8988,1.0
3,1035,1.0
3,1417,1.0
3,105,1.0
3,9052,1.0
3,3103,1.0
4,2482,1.0
4,7948,1.0
4,1992,1.0
4,920,1.0
4,5343,1.0
5,2751,1.0
5,8487,1.0
5,1183,1.0
5,465,1.0
5,3877,1.0
6,9081,1.0
6,9073,1.0
6,1706,1.0
6,2174,1.0
6,3956,1.0
7,6364,1.0
7,6683,1.0
7,6271,1.0
7,7890,1.0
7,4348,1.0
8,5831,1.0
8,2404,1.0
8,6777,1.0
8,2617,1.0
8,7171,1.0
9,2,1.0
9,1212,1.0
9,304,1.0
9,4343,1.0
9,3864,1.0
10,3820,1.0
10,2322,1.0
10,291,1.0
10,1161,1.0
10,4246,1.0
11,1417,1.0
11,9021,1.0
11,2939,1.0
11,1546,1.0
11,1921,1.0
12,5198,1.0
12,8239,1.0
12,5255,1.0
12,3734,1.0
12,3474,1.0
13,4213,1.0
13,687,1.0
13,3567,1.0
13,640,1.0
13,1445,1.0
14,1960,1.0
14,2499,1.0
14,8754,1.0
14,3197,1.0
14,1036,1.0
15,603,1.0
15,8129,1.0
15,1026,1.0
15,735,1.0
15,1151,1.0
16,5334,1.0
16,3264,1.0
16,6360,1.0
16,5335,1.0
16,6759,1.0
17,2148,1.0
17,1768,1.0
17,3252,1.0
17,1874,1.0
17,798,1.0
18,5152,1.0
18,2598,1.0
18,941,1.0
18,5556,1.0
18,2251,1.0
19,4266,1.0
19,5572,1.0
19,4130,1.0
19,2273,1.0
19,3791,1.0
20,1083,1.0
20,2747,1.0
20,405,1.0
20,3956,1.0
20,2961,1.0
21,610,1.0
21,2447,1.0
21,2265,1.0
21,1379,1.0
21,8141,1.0
22,3322,1.0
22,831,1.0
22,696,1.0
22,39,1.0
22,2279,1.0
23,898,1.0
23,3193,1.0
23,2148,1.0
23,760,1.0
23,1768,1.0
24,2008,1.0
24,1444,1.0
24,7492,1.0
24,8480,1.0
24,1712,1.0
25,792,1.0
25,3652,1.0
25,869,1.0
25,2253,1.0
25,7048,1.0
26,588,1.0
26,2721,1.0
26,3595,1.0
26,3589,1.0
26,176,1.0
27,6876,1.0
27,69,1.0
27,2554,1.0
27,2952,1.0
27,9067,1.0
28,3590,1.0
28,443,1.0
28,2612,1.0
28,1733,1.0
28,1970,1.0
29,2316,1.0
29,4135,1.0
29,1722,1.0
29,1023,1.0
29,72,1.0
30,1651,1.0
30,1187,1.0
30,5444,1.0
30,1128,1.0
30,1308,1.0
31,2446,1.0
31,3358,1.0
31,5363,1.0
31,1656,1.0
31,2039,1.0
32,8941,1.0
32,8623,1.0
32,381,1.0
32,5986,1.0
32,1373,1.0
33,3624,1.0
33,2730,1.0
33,8123,1.0
33,2551,1.0
33,2108,1.0
34,6175,1.0
34,5183,1.0
34,7232,1.0
34,4393,1.0
34,8887,1.0
35,310,1.0
35,7209,1.0
35,8184,1.0
35,1035,1.0
35,357,1.0
36,3627,1.0
36,3994,1.0
36,5694,1.0
36,6008,1.0
36,6842,1.0
37,6709,1.0
37,3641,1.0
37,7137,1.0
37,2020,1.0
37,8097,1.0
38,4197,1.0
38,2510,1.0
38,9028,1.0
38,2335,1.0
38,4671,1.0
39,3135,1.0
39,2033,1.0
39,885,1.0
39,3195,1.0
39,2152,1.0
40,1558,1.0
40,4354,1.0
40,6867,1.0
40,5887,1.0
40,3244,1.0
41,938,1.0
41,880,1.0
41,3476,1.0
41,3858,1.0
41,303,1.0
42,5628,1.0
42,4131,1.0
42,3459,1.0
42,5599,1.0
42,1322,1.0
43,4357,1.0
43,2641,1.0
43,8314,1.0
43,2023,1.0
43,6943,1.0
44,79,1.0
44,358,1.0
44,3666,1.0
44,5402,1.0
44,7482,1.0
45,8088,1.0
45,8923,1.0
45,9012,1.0
45,2950,1.0
45,8303,1.0
46,9056,1.0
46,9013,1.0
46,5289,1.0
46,1574,1.0
46,9059,1.0
47,6999,1.0
47,8212,1.0
47,5116,1.0
47,7844,1.0
47,6901,1.0
48,6959,1.0
48,6961,1.0
48,8416,1.0
48,5658,1.0
48,1930,1.0
49,6418,1.0
49,8284,1.0
49,8742,1.0
49,5303,1.0
49,6282,1.0
50,1605,1.0
50,452,1.0
50,8880,1.0
50,5516,1.0
50,9003,1.0
51,5220,1.0
51,4356,1.0
51,268,1.0
51,2477,1.0
51,9044,1.0
52,2194,1.0
52,8396,1.0
52,7694,1.0
52,8356,1.0
52,5976,1.0
53,3939,1.0
53,2298,1.0
53,778,1.0
53,8070,1.0
53,6517,1.0
54,6632,1.0
54,264,1.0
54,3237,1.0
54,1370,1.0
54,3391,1.0
55,128,1.0
55,1391,1.0
55,3049,1.0
55,2484,1.0
55,4317,1.0
56,8740,1.0
56,713,1.0
56,2004,1.0
56,6660,1.0
56,6119,1.0
57,7929,1.0
57,6676,1.0
57,6942,1.0
57,7689,1.0
57,1560,1.0
58,796,1.0
58,7704,1.0
58,8952,1.0
58,8310,1.0
58,1662,1.0
59,7016,1.0
59,8265,1.0
59,6832,1.0
59,6894,1.0
59,6835,1.0
60,466,1.0
60,2028,1.0
60,5389,1.0
60,7789,1.0
60,6794,1.0
61,189,1.0
61,3704,1.0
61,3975,1.0
61,4648,1.0
61,2962,1.0
62,8216,1.0
62,4131,1.0
62,3857,1.0
62,1596,1.0
62,3335,1.0
63,4537,1.0
63,1382,1.0
63,4275,1.0
63,9073,1.0
63,2853,1.0
64,4572,1.0
64,2507,1.0
64,4728,1.0
64,7657,1.0
64,3929,1.0
65,6862,1.0
65,8984,1.0
65,2670,1.0
65,1497,1.0
65,8167,1.0
66,3221,1.0
66,1315,1.0
66,45,1.0
66,3919,1.0
66,7795,1.0
67,9026,1.0
67,9017,1.0
67,9003,1.0
67,1605,1.0
67,3776,1.0
68,1695,1.0
68,6491,1.0
68,4087,1.0
68,8456,1.0
68,899,1.0
69,27,1.0
69,1946,1.0
69,8632,1.0
69,3068,1.0
69,2472,1.0
70,4567,1.0
70,6345,1.0
70,7377,1.0
70,8293,1.0
70,2464,1.0
71,1147,1.0
71,2415,1.0
71,2559,1.0
71,9077,1.0
71,2010,1.0
72,2344,1.0
72,1513,1.0
72,1023,1.0
72,4123,1.0
72,3018,1.0
73,3078,1.0
73,1265,1.0
73,2007,1.0
73,8348,1.0
73,75,1.0
74,5488,1.0
74,2315,1.0
74,2788,1.0
74,1274,1.0
74,1161,1.0
75,465,1.0
75,1046,1.0
75,5223,1.0
75,2722,1.0
75,1264,1.0
76,6872,1.0
76,5574,1.0
76,3851,1.0
76,4175,1.0
76,8743,1.0
77,439,1.0
77,4223,1.0
77,7300,1.0
77,750,1.0
77,1429,1.0
78,993,1.0
78,5025,1.0
78,8247,1.0
78,5353,1.0
78,6127,1.0
79,358,1.0
79,44,1.0
79,2443,1.0
79,8266,1.0
79,6554,1.0
80,8478,1.0
80,4499,1.0
80,5739,1.0
80,7737,1.0
80,8597,1.0
81,6256,1.0
81,7112,1.0
81,13,1.0
81,5177,1.0
81,1583,1.0
82,2820,1.0
82,2079,1.0
82,1069,1.0
82,6050,1.0
82,128,1.0
83,5291,1.0
83,1131,1.0
83,2415,1.0
83,594,1.0
83,1706,1.0
84,7484,1.0
84,1594,1.0
84,3815,1.0
84,6226,1.0
84,3312,1.0
85,613,1.0
85,1413,1.0
85,284,1.0
85,4151,1.0
85,5849,1.0
86,6326,1.0
86,7360,1.0
86,6800,1.0
86,8757,1.0
86,5978,1.0
87,1327,1.0
87,5648,1.0
87,1786,1.0
87,2743,1.0
87,3558,1.0
88,5360,1.0
88,5514,1.0
88,2120,1.0
88,440,1.0
88,3743,1.0
89,7223,1.0
89,8853,1.0
89,1860,1.0
89,6066,1.0
89,2485,1.0
90,232,1.0
90,1796,1.0
90,846,1.0
90,7986,1.0
90,3287,1.0
91,7691,1.0
91,5976,1.0
91,2654,1.0
91,6742,1.0
91,6654,1.0
92,4253,1.0
92,5974,1.0
92,3365,1.0
92,1842,1.0
92,6200,1.0
93,3234,1.0
93,2107,1.0
93,6868,1.0
93,1795,1.0
93,7683,1.0
94,8872,1.0
94,524,1.0
94,8068,1.0
94,4617,1.0
94,6637,1.0
95,1568,1.0
95,8908,1.0
95,807,1.0
95,7748,1.0
95,7627,1.0
96,1329,1.0
96,5571,1.0
96,6589,1.0
96,6388,1.0
96,354,1.0
97,5579,1.0
97,3166,1.0
97,2313,1.0
97,98,1.0
97,1070,1.0
98,6524,1.0
98,5817,1.0
98,8855,1.0
98,2222,1.0
98,1873,1.0
99,2586,1.0
99,992,1.0
99,2635,1.0
99,3047,1.0
99,2894,1.0
100,3640,1.0
100,8117,1.0
100,7141,1.0
100,3452,1.0
100,1827,1.0
101,2446,1.0
101,2585,1.0
101,1656,1.0
101,2039,1.0
101,5363,1.0
102,2280,1.0
102,3624,1.0
102,972,1.0
102,6283,1.0
102,1472,1.0
103,3967,1.0
103,5364,1.0
103,2103,1.0
103,2624,1.0
103,1112,1.0
104,446,1.0
104,3188,1.0
104,3474,1.0
104,3576,1.0
104,1152,1.0
105,3156,1.0
105,121,1.0
105,2141,1.0
105,2668,1.0
105,357,1.0
106,81,1.0
106,7657,1.0
106,7096,1.0
106,4728,1.0
106,7812,1.0
107,2203,1.0
107,8136,1.0
107,1755,1.0
107,6028,1.0
107,380,1.0
108,6414,1.0
108,3741,1.0
108,2647,1.0
108,7448,1.0
108,8778,1.0
